"Select","Välj"
"Change","Ändra"
"Delete","Ta bort"
"Summary","Sammanfattning"
"Cart","Varukorg"
"To be paid now","Betalas nu"
"Total","Totalsumma"
"Monthly cost","Månadskostnad"
"Lowest total cost:","Lägsta totala kostnad:"
"Products / services","Produkt/tjänster"
"Proceed to Checkout","Gå till kassa"
"kr/month","kr/mån"
"kr","kr"
"Your age is lower than %1","Du behöver vara över %1 år för att beställa denna produkt"
"Shipping Address","Leveranssätt",
"Confirm data","Bekräfta uppgifter"
"Confirm","Bekräfta"
"New number:","Nytt nummer:"
"I want new number","Jag vill ha ett nytt nummer"
"I want new subscription","Jag vill beställa ett nytt abonnemang"
"Enter mobile phone number for SMS","Ange mobilnummer för SMS"
"Please enter more or equal than {0} symbols.","Slå in ditt {0} siffror."
"Please enter less or equal than {0} symbols.","Slå in ditt {0} siffror."
"Please enter a valid email address (Ex: johndoe@domain.com).","Fel format på e-postadress."
"Please check your mobile number and try again.","Fel format på mobilnummer."
"For SMS Confirmation and Notification","För SMS-bekräftelse och avisering"
"Secret number","Hemligt nummer"
"The number is not searchable for directory inquiry.","Numret är inte sökbart för nummerupplysning."
"Hidden number","Dolt nummer"
"Hidden when you call but is searchable for number information.","Dolt när du ringer men är sökbart för nummerupplysningen."
"Enter the number you want to keep","Ange nummer du vill behålla"
"Enter verification code","Ange SMS-kod för bekräftelse",
"Shipping & Fees","Frakt & avgifter"
"Place Order", "Slutför köp"
"Good to know","Bra att veta"
"Your order","Din Order"
"Print receipt","Skriv ut kvitto"
"Step","Steg"
"View delivery information","Visa leveransinformation"
"Order number","Ordernummer"
"Follow your order","Följ din order"
"Delivery Method","Leveransmetod"
"Estimated delivery time","Beräknad leveranstid"
"Delivery address","Mottagaradress"
"New Number Is Chosen","Du kommer automatiskt att få ett nytt nummer"
"I need new sim","Jag behöver ett nytt SIM-kort"
"Enter mobile phone number","Ange nummer du vill behålla"
"Validate Sms Field","SMS-kod för bekräftelse"
"Fill in your area code","Fyll i ditt riktnummer"
"You will get new number","Du kommer att bli tilldelad ett nytt nummer"
"Cancel Action","Avbryt"
"Delete Action","Ta bort"
"One-off charges","Engångsavgifter"
"in setup fee on the first invoice"," i uppläggningsavgift på första fakturan"
"Installment fee for installment","Uppläggningsavgift för delbetalning"
"arrangement fee on the first invoice"," uppläggningsavgift på första fakturan"
"It would be possible to change current subscription only after %1", " Byte till ett mindre datapaket är möjligt först 30 dagar efter det senaste bytet. Nästa nedgradering kan göras %1."
"Sorry, no quotes are available for this order at this time","Tyvärr finns inga leveranssätt tillgängliga just nu."
"Quote item is not found","Din session har gått ut. Vänligen försök igen."
"No available shipping methods","Tyvärr finns inga leveranssätt tillgängliga just nu."
"Wrong carrier data.","Tyvärr finns inga leveranssätt tillgängliga just nu."
"Technical error occurred!","Tyvärr kan vi inte ta emot beställningar just nu p.g.a tekniskt fel. Försök igen senare eller ring oss på 0772-25 25 25 så hjälper vi dig"
"Qty Value","Antal:"
